car_id,passengers,ideal_time,actual_time
16561,2,6.0649999999999995,1433
4877,2,10.090000000000003,1460
15393,1,1.4874999999999998,781
31388,1,4.844999999999999,1385
13922,1,1.4974999999999998,804
20763,1,10.090000000000003,1519
30747,1,4.409999999999999,1421
11860,1,2.3449999999999998,24
21783,1,5.464999999999999,1540
3573,2,3.7874999999999996,1455
30754,2,3.7325,1465
18676,1,3.54,1469
1819,2,3.6425,1480
17296,1,0.9799999999999999,983
30791,1,3.0599999999999996,1531
647,2,3.75,1539
25483,1,6.264999999999998,1650
15732,1,8.6575,1557
4817,1,3.7699999999999996,1564
7464,1,6.8824999999999985,1723
3063,1,2.6674999999999995,1535
30767,1,1.4974999999999998,946
869,1,1.325,51
22007,1,8.5425,1659
24197,1,5.2524999999999995,1661
19349,1,4.3325,1668
8567,1,8.715,1772
24254,1,1.3875,1294
352,1,8.41,1797
2502,1,6.31,1810
12138,1,4.419999999999999,1842
9706,1,3.9724999999999993,1745
26854,1,3.6449999999999996,62
28038,1,3.2325,1165
29249,1,6.114999999999999,1877
16350,1,5.6125,1779
14375,1,2.8274999999999997,1110
4697,2,8.41,1819
13018,1,3.205,1399
22366,1,9.802500000000002,1900
31217,1,8.852500000000001,2026
13279,1,1.44,1358
7918,1,3.0599999999999996,1860
21301,1,2.4725,1869
31593,1,5.7749999999999995,2077
7301,1,4.18,1980
13816,2,10.370000000000003,2105
4271,1,5.7075000000000005,2118
8690,1,10.035000000000004,1824
20692,1,5.17,2071
7972,1,8.25,1973
18587,1,4.4025,1975
12940,1,7.657499999999998,1887
22446,1,7.559999999999998,2206
14981,1,13.544642857142854,2218
5260,1,7.669999999999999,2228
19956,1,3.7325,1935
28691,1,3.1425,1345
17477,1,2.6050000000000004,2173
26836,2,5.397499999999998,2194
8914,1,5.752499999999999,2107
21029,1,7.7425000000000015,2352
13314,1,3.6425,2089
22093,1,5.597499999999999,2399
30583,1,3.2199999999999998,2344
24091,1,5.474999999999999,2247
5234,1,3.7150000000000007,1660
4196,2,6.6499999999999995,2308
8619,2,9.2375,2221
18235,1,2.625,2239
20046,1,3.7325,2342
