"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"pop"
"11/21/2024 20:56:27:702 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","over-break-p","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","61","61","1081","0","3131","432","3131","2.896392229417206"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","62","62","1081","0","3131","432","3131","2.896392229417206"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","63","63","1079","0","3128","435","3128","2.8989805375347544"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","64","64","1078","0","3123","440","3123","2.897031539888683"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","65","65","1077","0","3122","441","3122","2.8987929433611885"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","66","66","1077","0","3122","441","3122","2.8987929433611885"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","67","67","1076","0","3122","441","3122","2.9014869888475836"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","68","68","1074","0","3117","446","3117","2.9022346368715084"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","69","69","1073","0","3112","451","3112","2.900279589934762"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","70","70","1073","0","3112","451","3112","2.900279589934762"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","71","71","1072","0","3109","454","3109","2.900186567164179"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","72","72","1071","0","3104","459","3104","2.8982259570494864"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","73","73","1069","0","3095","468","3095","2.8952291861552855"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","74","74","1067","0","3093","470","3093","2.8987816307403937"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","75","75","1063","0","3081","482","3081","2.8984007525870177"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","76","76","1061","0","3076","487","3076","2.899151743638077"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","77","77","1060","0","3074","489","3074","2.9"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","78","78","1059","0","3074","489","3074","2.902738432483475"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","79","79","1055","0","3063","500","3063","2.903317535545024"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","80","80","1054","0","3062","501","3062","2.905123339658444"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","81","81","1053","0","3057","506","3057","2.903133903133903"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","82","82","1050","0","3042","521","3042","2.8971428571428572"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","83","83","1049","0","3037","526","3037","2.8951382268827457"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","84","84","1049","0","3037","526","3037","2.8951382268827457"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","85","85","1049","0","3037","526","3037","2.8951382268827457"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","86","86","1047","0","3031","532","3031","2.894937917860554"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","87","87","1045","0","3023","540","3023","2.892822966507177"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","88","88","1044","0","3018","545","3018","2.8908045977011496"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","89","89","1042","0","3015","548","3015","2.8934740882917467"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","90","90","1041","0","3010","553","3010","2.891450528338136"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","91","91","1041","0","3010","553","3010","2.891450528338136"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","92","92","1041","0","3010","553","3010","2.891450528338136"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","93","93","1040","0","3010","553","3010","2.894230769230769"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","94","94","1040","0","3010","553","3010","2.894230769230769"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","95","95","1039","0","3010","553","3010","2.897016361886429"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","96","96","1037","0","3006","557","3006","2.8987463837994216"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","97","97","1036","0","3004","559","3004","2.8996138996139"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","98","98","1035","0","3000","563","3000","2.898550724637681"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","99","99","1034","0","2997","566","2997","2.8984526112185685"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","100","100","1034","0","2997","566","2997","2.8984526112185685"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","101","101","1033","0","2992","571","2992","2.8964181994191676"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","102","102","1033","0","2992","571","2992","2.8964181994191676"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","103","103","1032","0","2990","573","2990","2.897286821705426"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","104","104","1032","0","2990","573","2990","2.897286821705426"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","105","105","1029","0","2980","583","2980","2.8960155490767736"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","106","106","1028","0","2980","583","2980","2.8988326848249026"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","107","107","1027","0","2975","588","2975","2.896786757546251"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","108","108","1025","0","2969","594","2969","2.8965853658536584"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","109","109","1023","0","2963","600","2963","2.8963831867057674"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","110","110","1023","0","2963","600","2963","2.8963831867057674"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","111","111","1023","0","2963","600","2963","2.8963831867057674"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","112","112","1022","0","2958","605","2958","2.8943248532289627"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","113","113","1020","0","2956","607","2956","2.8980392156862744"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","114","114","1020","0","2956","607","2956","2.8980392156862744"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","115","115","1020","0","2956","607","2956","2.8980392156862744"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","116","116","1020","0","2956","607","2956","2.8980392156862744"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","117","117","1020","0","2956","607","2956","2.8980392156862744"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","118","118","1019","0","2956","607","2956","2.900883218842002"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","119","119","1016","0","2946","617","2946","2.8996062992125986"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","120","120","1013","0","2936","627","2936","2.8983218163869693"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","121","121","1976","0","5359","647","5359","2.7120445344129553"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","122","122","1975","0","5356","650","5356","2.711898734177215"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","123","123","1973","0","5352","654","5352","2.7126203750633553"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","124","124","1963","0","5325","681","5325","2.7126846663270503"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","125","125","1958","0","5317","689","5317","2.7155260469867213"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","126","126","1955","0","5313","693","5313","2.7176470588235295"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","127","127","1953","0","5310","696","5310","2.71889400921659"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","128","128","1951","0","5307","699","5307","2.7201435161455665"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","129","129","1947","0","5297","709","5297","2.7205957883923984"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","130","130","1942","0","5279","727","5279","2.718331616889804"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","131","131","1936","0","5255","751","5255","2.7143595041322315"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","132","132","1927","0","5230","776","5230","2.7140633108458743"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","133","133","1922","0","5225","781","5225","2.718522372528616"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","134","134","1922","0","5225","781","5225","2.718522372528616"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","135","135","1919","0","5221","785","5221","2.72068785825951"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","136","136","1914","0","5208","798","5208","2.7210031347962382"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","137","137","1913","0","5204","802","5204","2.720334553058024"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","138","138","1909","0","5197","809","5197","2.7223677317967523"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","139","139","1905","0","5186","820","5186","2.7223097112860892"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","140","140","1902","0","5178","828","5178","2.722397476340694"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","141","141","1898","0","5166","840","5166","2.721812434141201"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","142","142","1894","0","5150","856","5150","2.7191129883843717"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","143","143","1891","0","5140","866","5140","2.7181385510312004"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","144","144","1890","0","5137","869","5137","2.717989417989418"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","145","145","1890","0","5137","869","5137","2.717989417989418"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","146","146","1888","0","5130","876","5130","2.7171610169491527"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","147","147","1886","0","5122","884","5122","2.7158006362672324"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","148","148","1885","0","5117","889","5117","2.7145888594164456"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","149","149","1883","0","5114","892","5114","2.715878916622411"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","150","150","1881","0","5106","900","5106","2.7145135566188197"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","151","151","1879","0","5102","904","5102","2.7152740819584884"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","152","152","1878","0","5102","904","5102","2.7167199148029817"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","153","153","1874","0","5088","918","5088","2.7150480256136604"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","154","154","1873","0","5087","919","5087","2.7159636946075816"
